JobID|JobName|Partition|NodeList|ReqMem|AllocCPUS|Elapsed|State
11716783_9|LSSboost_openml|zen5_mpi|node740|60G|1|00:10:53|FAILED
11716783_10|LSSboost_openml|zen5_mpi|node703|60G|1|00:30:55|CANCELLED by 2510528
11716783_11|LSSboost_openml|zen5_mpi|node743|60G|1|00:11:12|FAILED
11716783_12|LSSboost_openml|zen5_mpi|node703|60G|1|00:06:31|FAILED
11716783_13|LSSboost_openml|zen5_mpi|node706|60G|1|00:28:17|CANCELLED by 2510528
11716783_14|LSSboost_openml|zen5_mpi|node713|60G|1|00:07:13|FAILED
11716783_15|LSSboost_openml|zen5_mpi|node715|60G|1|00:25:07|CANCELLED by 2510528
11716783_16|LSSboost_openml|zen5_mpi|node740|60G|1|00:11:23|FAILED
11716783_17|LSSboost_openml|zen5_mpi|node706|60G|1|00:03:59|FAILED
11716783_18|LSSboost_openml|zen5_mpi|node703|60G|1|00:21:26|CANCELLED by 2510528
11716785_0|LSSboost_openml|zen5_mpi|node740|60G|1|00:09:00|FAILED
11716785_1|LSSboost_openml|zen5_mpi|node743|60G|1|00:07:31|FAILED
11716785_2|LSSboost_openml|zen5_mpi|node700|60G|1|00:09:09|FAILED
11716785_3|LSSboost_openml|zen5_mpi|node706|60G|1|00:05:11|FAILED
11716785_4|LSSboost_openml|zen5_mpi|node713|60G|1|00:08:01|FAILED
11716785_5|LSSboost_openml|zen5_mpi|node743|60G|1|00:10:23|FAILED
11716785_6|LSSboost_openml|zen5_mpi|node712|60G|1|00:12:28|FAILED
11716785_7|LSSboost_openml|zen5_mpi|node706|60G|1|00:13:11|CANCELLED by 2510528
11716785_8|LSSboost_openml|zen5_mpi|node740|60G|1|00:10:43|FAILED
11716785_9|LSSboost_openml|zen5_mpi|node743|60G|1|00:05:54|FAILED
11716785_10|LSSboost_openml|zen5_mpi|node740|60G|1|00:10:33|CANCELLED by 2510528
11716785_11|LSSboost_openml|zen5_mpi|node700|60G|1|00:09:29|CANCELLED by 2510528
11716785_12|LSSboost_openml|zen5_mpi|node713|60G|1|00:04:47|FAILED
11716785_13|LSSboost_openml|zen5_mpi|node743|60G|1|00:06:20|CANCELLED by 2510528
11716785_14|LSSboost_openml|zen5_mpi|node743|60G|1|00:05:16|CANCELLED by 2510528
11716785_15|LSSboost_openml|zen5_mpi|node713|60G|1|00:04:13|CANCELLED by 2510528
11716785_16|LSSboost_openml|zen5_mpi|node718|60G|1|00:04:13|CANCELLED by 2510528
11716785_17|LSSboost_openml|zen5_mpi|node743|60G|1|00:02:38|CANCELLED by 2510528
11716785_18|LSSboost_openml|zen5_mpi|node743|60G|1|00:02:38|CANCELLED by 2510528
11717065_0|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:01:05|FAILED
11717065_1|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:01:05|FAILED
11717065_2|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:01:05|FAILED
11717065_3|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:58|FAILED
11717065_4|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:59|FAILED
11717065_5|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:01:05|FAILED
11717065_6|DGB-XGB_openml|zen5_mpi|node712|90G|1|00:01:09|FAILED
11717065_7|DGB-XGB_openml|zen5_mpi|node740|90G|1|00:01:09|FAILED
11717065_8|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:51|FAILED
11717065_9|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:50|FAILED
11717065_10|DGB-XGB_openml|zen5_mpi|node742|90G|1|00:01:11|FAILED
11717065_11|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:54|FAILED
11717065_12|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:54|FAILED
11717065_13|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:54|FAILED
11717065_14|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:51|FAILED
11717065_15|DGB-XGB_openml|zen5_mpi|node712|90G|1|00:01:05|FAILED
11717065_16|DGB-XGB_openml|zen5_mpi|node740|90G|1|00:00:59|FAILED
11717065_17|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:53|FAILED
11717065_18|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:02:53|FAILED
11717352_0|DGB-XGB_openml|zen5_mpi|node700|90G|1|00:00:51|FAILED
11717352_1|DGB-XGB_openml|zen5_mpi|node701|90G|1|00:00:57|FAILED
11717352_2|DGB-XGB_openml|zen5_mpi|node703|90G|1|00:00:53|FAILED
11717352_3|DGB-XGB_openml|zen5_mpi|node703|90G|1|00:00:53|FAILED
11717352_4|DGB-XGB_openml|zen5_mpi|node706|90G|1|00:00:57|FAILED
11717352_5|DGB-XGB_openml|zen5_mpi|node713|90G|1|00:00:57|FAILED
11717352_6|DGB-XGB_openml|zen5_mpi|node715|90G|1|00:00:58|FAILED
11717352_7|DGB-XGB_openml|zen5_mpi|node718|90G|1|00:00:59|FAILED
11717352_8|DGB-XGB_openml|zen5_mpi|node740|90G|1|00:00:59|FAILED
11717352_9|DGB-XGB_openml|zen5_mpi|node740|90G|1|00:01:00|FAILED
11717352_10|DGB-XGB_openml|zen5_mpi|node742|90G|1|00:00:49|FAILED
11717352_11|DGB-XGB_openml|zen5_mpi|node742|90G|1|00:00:49|FAILED
11717352_12|DGB-XGB_openml|zen5_mpi|node742|90G|1|00:00:50|FAILED
11717352_13|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:54|FAILED
11717352_14|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:54|FAILED
11717352_15|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:54|FAILED
11717352_16|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:54|FAILED
11717352_17|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:54|FAILED
11717352_18|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:02:49|FAILED
11717358_0|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:54|FAILED
11717358_1|DGB-XGB_openml|zen5_mpi|node708|90G|1|00:00:50|FAILED
11717358_2|DGB-XGB_openml|zen5_mpi|node712|90G|1|00:00:48|FAILED
11717358_3|DGB-XGB_openml|zen5_mpi|node712|90G|1|00:00:49|FAILED
11717358_4|DGB-XGB_openml|zen5_mpi|node718|90G|1|00:00:49|FAILED
11717358_5|DGB-XGB_openml|zen5_mpi|node740|90G|1|00:00:57|FAILED
11717358_6|DGB-XGB_openml|zen5_mpi|node700|90G|1|00:00:50|FAILED
11717358_7|DGB-XGB_openml|zen5_mpi|node701|90G|1|00:00:53|FAILED
11717358_8|DGB-XGB_openml|zen5_mpi|node703|90G|1|00:00:45|FAILED
11717358_9|DGB-XGB_openml|zen5_mpi|node703|90G|1|00:00:45|FAILED
11717358_10|DGB-XGB_openml|zen5_mpi|node706|90G|1|00:00:46|FAILED
11717358_11|DGB-XGB_openml|zen5_mpi|node713|90G|1|00:00:45|FAILED
11717358_12|DGB-XGB_openml|zen5_mpi|node715|90G|1|00:00:48|FAILED
11717358_13|DGB-XGB_openml|zen5_mpi|node718|90G|1|00:00:52|FAILED
11717358_14|DGB-XGB_openml|zen5_mpi|node740|90G|1|00:01:02|FAILED
11717358_15|DGB-XGB_openml|zen5_mpi|node740|90G|1|00:01:00|FAILED
11717358_16|DGB-XGB_openml|zen5_mpi|node742|90G|1|00:00:49|FAILED
11717358_17|DGB-XGB_openml|zen5_mpi|node742|90G|1|00:00:50|FAILED
11717358_18|DGB-XGB_openml|zen5_mpi|node742|90G|1|00:00:50|FAILED
11717362_0|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:52|FAILED
11717362_1|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:49|FAILED
11717362_2|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:52|FAILED
11717362_3|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:52|FAILED
11717362_4|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:52|FAILED
11717362_5|DGB-XGB_openml|zen5_mpi|node743|90G|1|00:00:52|FAILED
11717362_6|DGB-XGB_openml|zen5_mpi|node708|90G|1|00:00:49|FAILED
11717362_7|DGB-XGB_openml|zen5_mpi|node712|90G|1|00:00:49|FAILED
11717362_8|DGB-XGB_openml|zen5_mpi|node712|90G|1|00:00:50|FAILED
11717362_9|DGB-XGB_openml|zen5_mpi|node718|90G|1|00:00:51|FAILED
11717362_10|DGB-XGB_openml|zen5_mpi|node740|90G|1|00:00:56|FAILED
11717362_11|DGB-XGB_openml|zen5_mpi|node700|90G|1|00:00:51|FAILED
11717362_12|DGB-XGB_openml|zen5_mpi|node701|90G|1|00:00:48|FAILED
11717362_13|DGB-XGB_openml|zen5_mpi|node703|90G|1|00:00:45|FAILED
11717362_14|DGB-XGB_openml|zen5_mpi|node703|90G|1|00:00:44|FAILED
11717362_15|DGB-XGB_openml|zen5_mpi|node706|90G|1|00:00:47|FAILED
11717362_16|DGB-XGB_openml|zen5_mpi|node713|90G|1|00:00:45|FAILED
11717362_17|DGB-XGB_openml|zen5_mpi|node715|90G|1|00:00:51|FAILED
11717362_18|DGB-XGB_openml|zen5_mpi|node718|90G|1|00:00:51|FAILED
11717522_0|LSSboost_openml|zen4|node617|60G|1|00:01:19|FAILED
11717522_1|LSSboost_openml|zen5_mpi|node740|60G|1|00:00:50|FAILED
11717522_2|LSSboost_openml|zen5_mpi|node740|60G|1|00:00:50|FAILED
11717522_3|LSSboost_openml|zen5_mpi|node742|60G|1|00:00:41|FAILED
11717522_4|LSSboost_openml|zen5_mpi|node742|60G|1|00:00:41|FAILED
11717522_5|LSSboost_openml|zen5_mpi|node742|60G|1|00:00:42|FAILED
11717522_6|LSSboost_openml|zen5_mpi|node743|60G|1|00:00:45|FAILED
11717522_7|LSSboost_openml|zen5_mpi|node743|60G|1|00:00:46|FAILED
11717522_8|LSSboost_openml|zen5_mpi|node743|60G|1|00:00:46|FAILED
11717522_9|LSSboost_openml|zen5_mpi|node743|60G|1|00:00:44|FAILED
11717522_10|LSSboost_openml|zen5_mpi|node743|60G|1|00:00:47|FAILED
11717522_11|LSSboost_openml|zen5_mpi|node743|60G|1|00:00:46|FAILED
11717522_12|LSSboost_openml|zen5_mpi|node743|60G|1|00:00:45|FAILED
11717522_13|LSSboost_openml|zen5_mpi|node743|60G|1|00:00:45|FAILED
